index,pais,diversity,avg_ubiquity,code
0,Angola,38,25.05263157894737,Angola
1,Albania,474,25.60759493670886,Albania
2,Emiratos Árabes Unidos,377,21.514588859416445,Emiratos Árabes Unidos
3,Argentina,448,20.6875,Argentina
4,Australia,391,20.67774936061381,Australia
5,Austria,1410,18.53758865248227,Austria
6,Azerbaiyán,77,24.415584415584416,Azerbaiyán
7,Bangladesh,397,24.151133501259444,Bangladesh
8,Bulgaria,1158,21.69084628670121,Bulgaria
9,Bosnia y Herzegovina,682,23.69208211143695,Bosnia y Herzegovina
10,Bielorrusia,745,21.35973154362416,Bielorrusia
11,Bolivia,159,24.07547169811321,Bolivia
12,Brasil,572,18.505244755244757,Brasil
13,Canadá,801,19.84394506866417,Canadá
14,Suiza,745,15.088590604026846,Suiza
15,Chile,382,20.19633507853403,Chile
16,China,2290,15.380786026200873,China
17,Costa de Marfil,229,25.4235807860262,Costa de Marfil
18,Camerún,174,25.316091954022987,Camerún
19,República del Congo,74,25.45945945945946,República del Congo
20,Colombia,366,23.139344262295083,Colombia
21,Costa Rica,392,24.714285714285715,Costa Rica
22,República Checa,1238,18.296445880452342,República Checa
23,Alemania,1806,15.801218161683279,Alemania
24,Dinamarca,1172,20.133959044368602,Dinamarca
25,República Dominicana,516,25.43798449612403,República Dominicana
26,Argelia,45,22.2,Argelia
27,Ecuador,209,25.598086124401913,Ecuador
28,Egipto,954,21.91928721174004,Egipto
29,España,1813,19.332597904026475,España
30,Estonia,946,21.24418604651163,Estonia
31,Etiopía,395,23.339240506329112,Etiopía
32,Finlandia,789,18.11153358681876,Finlandia
33,Francia,1660,17.850602409638554,Francia
34,Gabón,47,22.574468085106382,Gabón
35,Reino Unido,1298,17.719568567026194,Reino Unido
36,Georgia,373,24.117962466487935,Georgia
37,Ghana,206,25.42233009708738,Ghana
38,Guinea,105,25.857142857142858,Guinea
39,Grecia,810,22.601234567901233,Grecia
40,Guatemala,646,24.526315789473685,Guatemala
41,Hong Kong,1220,16.04344262295082,Hong Kong
42,Honduras,410,25.941463414634146,Honduras
43,Croacia,1030,22.66116504854369,Croacia
44,Hungría,879,20.051194539249146,Hungría
45,Indonesia,955,19.472251308900525,Indonesia
46,India,1526,17.24770642201835,India
47,Irlanda,417,19.239808153477217,Irlanda
48,Irán,393,21.05852417302799,Irán
49,Israel,724,18.556629834254142,Israel
50,Italia,2051,17.880058508044858,Italia
51,Jamaica,258,25.414728682170544,Jamaica
52,Jordán,672,23.94345238095238,Jordán
53,Japón,1297,13.464919043947571,Japón
54,Kazajstán,266,20.533834586466167,Kazajstán
55,Kenia,586,25.110921501706486,Kenia
56,Kirguistán,487,23.679671457905545,Kirguistán
57,Camboya,443,23.462753950338602,Camboya
58,Corea del Sur,895,15.032402234636871,Corea del Sur
59,Kuwait,61,24.0,Kuwait
60,Laos,306,23.333333333333332,Laos
61,Líbano,970,22.68659793814433,Líbano
62,Liberia,82,24.085365853658537,Liberia
63,Libia,36,29.583333333333332,Libia
64,Sri Lanka,676,22.933431952662723,Sri Lanka
65,Lituania,1165,21.70643776824034,Lituania
66,Letonia,1020,21.872549019607842,Letonia
67,Marruecos,638,22.412225705329153,Marruecos
68,Moldavia,559,23.785330948121647,Moldavia
69,Madagascar,447,23.59731543624161,Madagascar
70,México,627,18.905901116427433,México
71,Macedonia,473,24.9492600422833,Macedonia
72,Mali,134,25.888059701492537,Mali
73,Mongolia,113,23.8141592920354,Mongolia
74,Mozambique,223,24.206278026905828,Mozambique
75,Mauritania,100,25.25,Mauritania
76,Mauricio,614,23.193811074918568,Mauricio
77,Malawi,262,24.209923664122137,Malawi
78,Malasia,811,17.551171393341555,Malasia
79,Nigeria,100,24.48,Nigeria
80,Nicaragua,277,28.021660649819495,Nicaragua
81,Países Bajos,1407,17.857142857142858,Países Bajos
82,Noruega,407,19.23095823095823,Noruega
83,Nueva Zelanda,574,22.118466898954704,Nueva Zelanda
84,Omán,175,24.205714285714286,Omán
85,Pakistán,880,20.755681818181817,Pakistán
86,Panamá,907,19.487320837927232,Panamá
87,Perú,423,22.725768321513,Perú
88,Filipinas,710,16.525352112676057,Filipinas
89,Papúa Nueva Guinea,77,24.0,Papúa Nueva Guinea
90,Polonia,1403,20.688524590163933,Polonia
91,Portugal,1464,21.371584699453553,Portugal
92,Paraguay,175,25.377142857142857,Paraguay
93,Katar,67,21.35820895522388,Katar
94,Rumania,982,21.206720977596742,Rumania
95,Rusia,421,18.34916864608076,Rusia
96,Arabia Saudita,245,20.583673469387755,Arabia Saudita
97,Sudán,136,27.897058823529413,Sudán
98,Senegal,411,24.793187347931873,Senegal
99,Singapur,628,14.890127388535031,Singapur
100,El Salvador,582,23.927835051546392,El Salvador
101,Eslovaquia,816,20.416666666666668,Eslovaquia
102,Eslovenia,1075,19.62418604651163,Eslovenia
103,Suecia,1104,18.307065217391305,Suecia
104,Tailandia,1138,17.79525483304042,Tailandia
105,Tayikistán,158,22.759493670886076,Tayikistán
106,Turkmenistán,75,22.613333333333333,Turkmenistán
107,Trinidad y Tobago,153,25.392156862745097,Trinidad y Tobago
108,Túnez,830,22.573493975903613,Túnez
109,Turquía,1535,20.121824104234527,Turquía
110,Tanzania,550,23.23090909090909,Tanzania
111,Uganda,488,24.864754098360656,Uganda
112,Ucrania,683,21.387994143484626,Ucrania
113,Uruguay,296,22.3277027027027,Uruguay
114,Estados Unidos,1508,15.873342175066313,Estados Unidos
115,Uzbekistán,292,22.003424657534246,Uzbekistán
116,Venezuela,59,23.796610169491526,Venezuela
117,Vietnam,887,20.508455467869222,Vietnam
118,Yemen,199,27.201005025125628,Yemen
119,Sudáfrica,909,20.745874587458747,Sudáfrica
120,Zambia,231,24.8008658008658,Zambia
121,Zimbabue,230,24.121739130434783,Zimbabue